id,person,date,salary,raise_type
1444,281,17/03/2014,"R$ 1.159,55",initial
1229,240,05/03/2014,"R$ 1.917,86",initial
1366,266,19/02/2014,"R$ 1.917,86",initial
649,118,11/02/2014,"R$ 1.159,55",initial
1520,306,20/01/2014,"R$ 7.500,01",initial
627,116,01/01/2014,"R$ 4.739,64",raise
1550,312,01/01/2014,"R$ 2.839,25",raise
1481,294,01/01/2014,"R$ 2.625,05",raise
501,97,01/01/2014,"R$ 1.159,55",raise
1424,277,09/12/2013,"R$ 1.917,86",initial
1434,278,01/11/2013,"R$ 3.500,00",raise
1510,302,21/10/2013,"R$ 2.625,05",initial
566,108,01/10/2013,"R$ 2.800,00",raise
1319,259,01/10/2013,"R$ 2.324,95",raise
1352,265,01/10/2013,"R$ 2.126,36",raise
500,97,01/10/2013,"R$ 1.082,46",raise
1486,295,04/09/2013,"R$ 1.200,14",initial
1480,294,02/09/2013,"R$ 2.427,00",initial
1222,86,02/09/2013,"R$ 911,40",initial
775,138,01/09/2013,"R$ 2.357,54",raise
499,97,01/09/2013,"R$ 928,40",raise
1318,259,01/08/2013,"R$ 2.200,79",raise
1448,283,01/08/2013,"R$ 1.000,00",raise
1249,242,10/06/2013,"R$ 2.324,95",initial
565,108,03/06/2013,"R$ 2.500,00",initial
626,116,01/06/2013,"R$ 4.424,51",raise
1447,283,02/05/2013,"R$ 500,00",initial
625,116,01/05/2013,"R$ 4.363,34",raise
1433,278,01/05/2013,"R$ 3.098,67",raise
1549,312,01/05/2013,"R$ 2.730,04",raise
774,138,01/05/2013,"R$ 2.054,47",raise
1317,259,01/05/2013,"R$ 1.984,98",raise
1351,265,01/05/2013,"R$ 1.984,98",raise
1397,272,01/05/2013,"R$ 1.200,00",raise
498,97,01/05/2013,"R$ 911,40",raise
1350,265,12/11/2012,"R$ 1.829,48",initial
497,97,25/10/2012,"R$ 840,00",initial
773,138,01/10/2012,"R$ 1.767,61",raise
1548,312,07/05/2012,"R$ 2.492,21",initial
624,116,01/05/2012,"R$ 3.678,02",raise
1432,278,01/05/2012,"R$ 2.759,35",raise
1316,259,01/05/2012,"R$ 1.829,48",raise
772,138,01/05/2012,"R$ 1.470,00",raise
1396,272,01/05/2012,"R$ 869,40",raise
771,138,01/02/2012,"R$ 1.400,00",raise
